price,address,suburb,bedrooms,bathrooms,parking,property_type,link,price_numeric
"Guide $650,000","501/27 Percy Street, BANKSTOWN NSW 2200",BANKSTOWN,2,2,1,Apartment / Unit / Flat,https://www.domain.com.au/501-27-percy-street-bankstown-nsw-2200-2020118201,650000.0
Auction,"4 Hoskins Avenue, BANKSTOWN NSW 2200",BANKSTOWN,9,4,4,House,https://www.domain.com.au/4-hoskins-avenue-bankstown-nsw-2200-2020102611,
"$590,000 - $620,000","51/4 West Terrace, BANKSTOWN NSW 2200",BANKSTOWN,2,2,3,Apartment / Unit / Flat,https://www.domain.com.au/51-4-west-terrace-bankstown-nsw-2200-2020073692,590000.0
Contact Agent,"18 Percy Street, BANKSTOWN NSW 2200",BANKSTOWN,3,1,4,House,https://www.domain.com.au/18-percy-street-bankstown-nsw-2200-2020060961,
Under offer,"601/36 Kitchener Parade, BANKSTOWN NSW 2200",BANKSTOWN,2,2,1,New apartments / off the plan,https://www.domain.com.au/601-36-kitchener-parade-bankstown-nsw-2200-2020046145,
Under Offer,"803/465 Chapel Road, BANKSTOWN NSW 2200",BANKSTOWN,3,2,1,Apartment / Unit / Flat,https://www.domain.com.au/803-465-chapel-road-bankstown-nsw-2200-2020046078,
For Sale,"1009/196B Stacey Street, BANKSTOWN NSW 2200",BANKSTOWN,3,2,1,Apartment / Unit / Flat,https://www.domain.com.au/1009-196b-stacey-street-bankstown-nsw-2200-2020042549,
Price on request,"69 Meredith Street, BANKSTOWN NSW 2200",BANKSTOWN,5,1,4,House,https://www.domain.com.au/69-meredith-street-bankstown-nsw-2200-2020004672,
Contact Agent,"203/196A Stacey Streert, BANKSTOWN NSW 2200",BANKSTOWN,2,2,1,Apartment / Unit / Flat,https://www.domain.com.au/203-196a-stacey-streert-bankstown-nsw-2200-2019972178,
"$558,000","403/19 Meredith Street, BANKSTOWN NSW 2200",BANKSTOWN,1,1,1,Apartment / Unit / Flat,https://www.domain.com.au/403-19-meredith-street-bankstown-nsw-2200-2019898200,558000.0
